YEAR,TOTAL,CONVICT,NON-CONVICT
1978,28371,220,27951
1979,25888,264,25624
1980,17262,197,17065
1981,16556,152,16404
1982,14154,228,13926
1983,16763,538,16225
1984,18006,568,17438
1985,20560,728,19832
1986,22937,1136,21801
1987,22579,1646,20931
1988,22848,1640,21208
1989,28965,1712,27253
1990,25228,1859,23369
1991,28060,2772,25288
1992,37794,17088,20706
1993,42540,29457,13083
1994,45664,32510,13154
1995,50924,33842,17082
1996,69680,38015,31665
1997,114432,53214,61218
1998,173146,60965,112181
1999,180902,70372,110530
2000,185987,72041,113946
2001,177739,72329,105410
2002,150084,71530,78554
2003,186151,79395,106756
2004,240665,92380,148285
2005,246431,92221,154210
2006,280974,98490,182484
2007,319382,102394,216988
2008,359795,105266,254529
2009,391597,131837,259760
2010,382265,169656,212609
2011,387134,188964,198170
2012,418397,200143,218254
2013,438421,198394,240027
2014,407075,169253,237822
2015,333341,139950,193391
