iso3,year,region,income_group,homrates_unodc,homrates_who,deport_convict,deport_convict_d,deport_convict_lead,deport_nonconvict,deport_nonconvict_d,corruption,crime_US_weight,GDP_growth,GDPpercapita_const2010USD_log,gini_mkt,instr_benef_medicaidpregn_lag1,instr_enforce_everify_lag1,,polity2,pop_sh14,population_log,,remittances_GDP,urban_interp,war_intrastate,yr_sch
AFG,2010,South Asia,Low income,3.81,NA,0.01939223,-0.02294265,0.00544436,0.0422563,-0.031614009,NA,420.0416266,8.433290482,6.315900873,34.8,0.852743022,0.08614052,,NA,47.79811192,17.1759959,,2.146387683,22.6,0,3.85
AFG,2012,South Asia,Low income,5.41,NA,0.026548911,0.00544436,0.007723313,NA,NA,NA,405.8454764,14.43474129,6.446398022,35.3,0.871029836,0.090952839,,NA,46.73910034,17.23967412,,1.225798941,23.3,0,4.326376512
ALB,1996,Europe & Central Asia,Upper middle income,NA,8.355267723,0.141652827,0.033120322,0.033956723,0.23605545,-0.090419749,3,NA,9.100000008,7.533390108,45.4,NA,NA,,0,32.13278581,14.96862145,,16.6189111,39.2,0,8.378364951
ALB,1998,Europe & Central Asia,Upper middle income,NA,31.73424965,0.159418412,0.033956723,0.067197865,1.785566422,1.921022142,3,NA,9.00885254,7.517483034,45.7,NA,NA,,5,31.23444829,14.9560738,,18.62271704,40.2,0,8.924824899
ALB,2000,Europe & Central Asia,Upper middle income,NA,10.67682549,0.338575984,0.067197865,0.068779089,2.46972076,0.64287607,2,530.6754882,6.666620499,7.721371202,46,NA,NA,,5,30.26323123,14.94336671,,16.45905212,41.7,0,9.48
ALB,2002,Europe & Central Asia,Upper middle income,NA,7.134379426,0.392625395,0.068779089,0.531193235,2.89611526,-0.063234184,2,508.1479075,4.231371018,7.851606038,46.2,0.647668394,0,,7,28.87565329,14.93098324,,16.54018019,43.6,0,9.769178262
ALB,2004,Europe & Central Asia,Upper middle income,NA,4.89451029,0.709117361,0.531193235,0.210369672,5.210632114,3.292524876,2,469.1010363,5.709556596,7.971181699,46.4,0.775607812,0,,7,27.28176317,14.92306244,,15.86730688,45.6,0,9.847239263
ALB,2006,Europe & Central Asia,Upper middle income,4.055,0,1.0659606,0.210369672,0.084269507,7.062829634,1.305885625,1,487.7871662,5.431012739,8.091127018,46.5,0.775607812,0,,9,25.54768949,14.91163542,,15.1176923,47.8,0,9.849400527
ALB,2008,Europe & Central Asia,Upper middle income,3.31,2.872829473,0.963999535,0.084269507,0.597167049,8.792673155,2.725374627,1.5,457.7556397,7.529999989,8.236282394,46.7,0.768433639,0.008369868,,9,23.90783551,14.89640481,,14.49079181,49.9,0,9.86350079
ALB,2010,Europe & Central Asia,Upper middle income,3.64,1.150008874,1.592710844,0.597167049,-0.475074106,7.547870607,-3.657519258,2,421.8136309,3.709999994,8.317365411,46.7,0.803507373,0.041450777,,9,22.46673638,14.88470124,,13.33701881,51.9,0,9.93
ALB,2012,Europe & Central Asia,Upper middle income,5.185,NA,1.274633138,-0.475074106,-0.479591105,3.599138192,-3.833603184,2,400.456676,1.419999998,8.360987517,46.7,0.809485851,0.041450777,,9,20.47078823,14.88035956,,11.52633771,53.8,0,10.08729816
ALB,2014,Europe & Central Asia,Upper middle income,4.175,NA,0.916165534,-0.479591105,NA,0.864389504,-1.755141961,2,382.6545237,1.799999998,8.393768866,NA,0.809884416,0.344758868,,9,18.75991817,14.87645698,,8.630623756,55.5,0,10.37379526
ARE,2006,Middle East & North Africa,High income: nonOECD,NA,0.628748259,0,NA,0,NA,NA,2,NA,9.837319773,10.89537909,NA,NA,NA,,-8,16.71285105,15.47221977,,NA,82.7,0,8.942948806
ARE,2008,Middle East & North Africa,High income: nonOECD,NA,0.396396737,0,0,0,0.077624832,-0.118241808,2,NA,3.191836271,10.68416346,44.9,NA,NA,,-8,14.52124501,15.74620235,,NA,83.3,0,9.020543209
ARE,2010,Middle East & North Africa,High income: nonOECD,NA,0.424106006,0,0,NA,NA,NA,3.5,NA,1.635449055,10.46450659,NA,NA,NA,,-8,13.37712818,15.92822777,,NA,84.1,0,9.07
ARG,1996,Latin America & Caribbean,High income: nonOECD,NA,4.333035817,0.049681776,0.001556318,0.065005724,0.036942698,-0.003738324,3,NA,5.526689827,8.981571987,45.5,NA,NA,,7,28.86713099,17.38277821,,0.02388391,89,0,8.645611469
ARG,1998,Latin America & Caribbean,High income: nonOECD,NA,4.668523539,0.098393182,0.065005724,-0.010707713,0.094442615,0.043379835,2,NA,3.850178852,9.074400098,46.7,NA,NA,,7,28.40599709,17.40571791,,0.022913665,89.5,0,8.649675177
ARG,2000,Latin America & Caribbean,High income: nonOECD,NA,5.532690497,0.130372642,-0.010707713,0.068890096,0.189528909,0.187194928,3,600.3798599,-0.788998939,9.009775799,47.8,NA,NA,,8,27.98482475,17.42798002,,0.030380901,90.1,0,8.73
ARG,2002,Latin America & Caribbean,High income: nonOECD,NA,7.236849972,0.160470044,0.068890096,0.006495997,0.827653879,0.867789456,2,576.9816178,-10.89448483,8.827135876,48.6,0.503184713,0,,8,27.5273355,17.45018116,,0.211442421,90.7,0,8.953702357
ARG,2004,Latin America & Caribbean,High income: nonOECD,NA,6.513797505,0.203907352,0.006495997,0.039126562,1.316587251,0.357607662,2.5,530.2465223,9.029573301,8.976356163,47.6,0.517707006,0,,8,27.1428297,17.47209138,,0.189350127,91.2,0,9.244491909
